Oscar,Total,MovieName
Awards,2 wins,M
Nominated for 3 Oscars,9 wins & 7 nominations total,North by Northwest
Nominated for 2 Oscars,9 wins & 7 nominations total,Vertigo
Nominated for 7 Oscars,2 wins & 9 nominations total,Double Indemnity
Nominated for 5 Oscars,59 wins & 74 nominations total,Le fabuleux destin d'Am?lie Poulain
Awards,8 nominations,Scarface
Nominated for 1 Oscar,8 wins & 15 nominations total,Full Metal Jacket
Nominated for 1 Oscar,41 wins & 19 nominations total,Incendies
Nominated for 4 Oscars,12 wins & 25 nominations total,A Clockwork Orange
Awards,14 nominations,Heat
Won 2 Oscars,80 wins & 87 nominations total,Up
Won 3 Oscars,14 wins & 16 nominations total,To Kill a Mockingbird
Won 2 Primetime Emmys,19 wins & 46 nominations total,Hamilton
Won 7 Oscars,18 wins & 6 nominations total,The Sting
Won 1 Oscar,88 wins & 51 nominations total,Jodaeiye Nader az Simin
Won 1 Oscar,9 wins & 24 nominations total,Indiana Jones and the Last Crusade
Awards,6 wins & 6 nominations,Metropolis
Nominated for 4 Oscars,8 wins & 8 nominations total,Die Hard
Awards,27 wins & 18 nominations,Taare Zameen Par
Awards,4 wins & 7 nominations,Snatch.
Nominated for 1 Oscar,18 wins & 1 nomination total,Ladri di biciclette
Won 2 Oscars,91 wins & 86 nominations total,L.A. Confidential
Nominated for 4 Oscars,22 wins & 21 nominations total,Taxi Driver
Won 3 Oscars,135 wins & 204 nominations total,1917
Nominated for 1 Oscar,22 wins & 34 nominations total,Der Untergang
Awards,41 wins & 37 nominations,Dangal
Awards,2 nominations,Per qualche dollaro in pi?
Nominated for 1 Oscar,14 wins & 79 nominations total,Batman Begins
Won 1 Oscar,94 wins & 216 nominations total,Top Gun: Maverick
Won 1 Oscar,11 wins & 13 nominations total,Some Like It Hot
Awards,2 wins,The Kid
Nominated for 5 Oscars,37 wins & 179 nominations total,The Wolf of Wall Street
Won 2 Oscars,37 wins & 163 nominations total,The Father
Won 3 Oscars,58 wins & 123 nominations total,Green Book
Won 6 Oscars,27 wins & 20 nominations total,All About Eve
Won 2 Oscars,16 wins & 26 nominations total,Judgment at Nuremberg
Nominated for 3 Oscars,40 wins & 69 nominations total,The Truman Show
Won 2 Oscars,114 wins & 138 nominations total,There Will Be Blood
Nominated for 1 Oscar,4 wins & 11 nominations total,Casino
Awards,11 wins & 66 nominations,Shutter Island
Won 1 Oscar,30 wins & 23 nominations total,Ran
Won 3 Oscars,109 wins & 115 nominations total,El Laberinto del fauno
Won 3 Oscars,44 wins & 27 nominations total,Jurassic Park
Nominated for 6 Oscars,37 wins & 56 nominations total,The Sixth Sense
Won 4 Oscars,51 wins & 47 nominations total,Unforgiven
Won 4 Oscars,37 wins & 69 nominations total,A Beautiful Mind
Won 4 Oscars,164 wins & 139 nominations total,No Country for Old Men
Nominated for 1 Oscar,4 wins & 2 nominations total,Yojimbo
Won 3 Oscars,15 wins & 5 nominations total,The Treasure of the Sierra Madre
Nominated for 5 BAFTA Awards,30 wins & 103 nominations total,Kill Bill: Vol. 1
Awards,5 nominations,The Thing
Awards,2 wins & 2 nominations,Monty Python and the Holy Grail
Nominated for 1 Oscar,3 wins & 11 nominations total,The Great Escape
Won 1 Oscar,49 wins & 63 nominations total,Finding Nemo
Nominated for 1 Oscar,9 wins & 5 nominations total,Rash?mon
Nominated for 8 Oscars,11 wins & 22 nominations total,The Elephant Man
Won 1 Oscar,21 wins & 24 nominations total,Chinatown
Nominated for 1 Oscar,14 wins & 20 nominations total,Hauru no ugoku shiro
Nominated for 1 BAFTA Award,5 wins & 3 nominations total,Dial M for Murder
Won 8 Oscars,21 wins & 9 nominations total,Gone with the Wind
Awards,7 wins & 29 nominations,V for Vendetta
Nominated for 1 Oscar,10 wins & 38 nominations total,Prisoners
Won 2 Oscars,24 wins & 28 nominations total,Raging Bull
Won 1 BAFTA Award,13 wins & 9 nominations total,"Lock, Stock and Two Smoking Barrels"
Won 1 Oscar,53 wins & 43 nominations total,El secreto de sus ojos
Won 1 Oscar,99 wins & 118 nominations total,Inside Out
Nominated for 1 Oscar,35 wins & 71 nominations total,Spider-Man: No Way Home
Won 2 Oscars,132 wins & 233 nominations total,"Three Billboards Outside Ebbing, Missouri"
Nominated for 1 Oscar,23 wins & 35 nominations total,Trainspotting
