Sl_No,Name,Release_Year,Duration,Certificate,Rating,Votes,Director,Stars,Description
15,Inception,2010,148,12A,8.8,2430036,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
16,Star Wars: Episode V - The Empire Strikes Back,1980,124,U,8.7,1328939,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher","After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
17,The Matrix,1999,136,15,8.7,1969775,Lana Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
18,GoodFellas,1990,145,18,8.7,1200162,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
19,One Flew Over the Cuckoo's Nest,1975,133,15,8.7,1034016,Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman","In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
20,Seven,1995,127,18,8.6,1709898,David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
21,It's a Wonderful Life,1946,130,U,8.6,474682,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
22,Seven Samurai,1954,207,A,8.6,354711,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima","Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
23,The Silence of the Lambs,1991,118,18,8.6,1476532,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Lawrence A. Bonney","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
24,Saving Private Ryan,1998,169,15,8.6,1432483,Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
25,City of God,2002,130,18,8.6,774709,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
26,Interstellar,2014,169,12A,8.7,1934950,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
27,Life Is Beautiful,1997,116,PG,8.6,714984,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini","When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
28,The Green Mile,1999,189,18,8.6,1344434,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse","A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution."
29,Star Wars: Episode IV - A New Hope,1977,129,U,8.6,1401152,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
30,Terminator 2: Judgment Day,1991,137,15,8.6,1130233,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
31,Back to the Future,1985,116,PG,8.5,1248266,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
32,Spirited Away,2001,125,PG,8.6,797223,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
33,The Pianist,2002,150,15,8.5,862465,Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
34,Psycho,1960,109,15,8.5,691620,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
35,Parasite,2019,132,15,8.5,866496,Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
36,Leon,1994,110,18,8.5,1196515,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman","12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
37,The Lion King,1994,88,U,8.5,1092936,Roger Allers,"Matthew Broderick, Jeremy Irons, James Earl Jones","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
38,Gladiator,2000,155,15,8.5,1545060,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
39,American History X,1998,119,18,8.5,1148596,Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo","Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
40,The Departed,2006,151,18,8.5,1364745,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
41,Whiplash,2014,106,15,8.5,914427,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
42,The Prestige,2006,130,12A,8.5,1373323,Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
43,The Usual Suspects,1995,106,18,8.5,1109438,Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri",The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
44,Casablanca,1942,102,U,8.5,586757,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
45,Grave of the Fireflies,1988,89,12A,8.5,290084,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi",A young boy and his little sister struggle to survive in Japan during World War II.
46,Harakiri,1962,133,X,8.6,61989,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita","When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
47,Untouchable,2011,112,15,8.5,887009,Olivier Nakache,"François Cluzet, Omar Sy, Anne Le Ny","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
48,Modern Times,1936,87,U,8.5,249807,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
49,Cinema Paradiso,1988,155,PG,8.5,270265,Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale, Antonella Attili",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
50,Once Upon a Time in the West,1968,165,AA,8.5,338793,Sergio Leone,"Henry Fonda, Charles Bronson, Claudia Cardinale",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
51,Rear Window,1954,112,A,8.5,504434,Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey","A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
52,Alien,1979,117,X,8.5,909028,Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt",The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.
53,City Lights,1931,87,U,8.5,189511,Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
54,Apocalypse Now,1979,147,X,8.4,685653,Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
55,Memento,2000,113,15,8.4,1270496,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano",A man with short-term memory loss attempts to track down his wife's murderer.
56,Django Unchained,2012,165,18,8.4,1611755,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
57,Raiders of the Lost Ark,1981,115,A,8.4,1001791,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
58,WALL·E,2008,98,U,8.4,1150989,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
59,The Lives of Others,2006,137,15,8.4,398244,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck, Sebastian Koch","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
60,Sunset Blvd.,1950,110,PG,8.4,228271,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
61,Paths of Glory,1957,88,PG,8.4,203493,Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
62,Avengers: Infinity War,2018,149,12A,8.4,1135645,Anthony Russo,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
63,The Shining,1980,146,X,8.4,1056270,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
64,The Great Dictator,1940,125,U,8.4,229858,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
65,Witness for the Prosecution,1957,116,U,8.4,130534,Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
66,Spider-Man: Into the Spider-Verse,2018,117,PG,8.4,607066,Bob Persichetti,"Shameik Moore, Jake Johnson, Hailee Steinfeld",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
67,Aliens,1986,137,R,8.4,736505,James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn","Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
68,American Beauty,1999,122,18,8.3,1177851,Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
69,The Dark Knight Rises,2012,164,12A,8.4,1752712,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway","Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
70,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,A,8.4,502554,Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden","An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
71,Inglourious Basterds,2009,153,18,8.3,1502910,Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
72,Oldboy,2003,120,18,8.4,600894,Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
73,Coco,2017,105,PG,8.4,542069,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
74,Amadeus,1984,160,PG,8.4,412049,Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
75,Toy Story,1995,81,PG,8.3,1025430,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles",A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
76,Braveheart,1995,178,15,8.3,1060101,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan",Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
77,Das Boot,1981,149,AA,8.4,256806,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann",A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
78,Joker,2019,122,15,8.4,1370191,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz","The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution."
79,Avengers: Endgame,2019,181,12A,8.4,1193180,Anthony Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
80,Princess Mononoke,1997,134,PG,8.3,409936,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
81,Good Will Hunting,1997,126,15,8.3,1010582,Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
82,Once Upon a Time in America,1984,229,18,8.3,362510,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
83,Your Name.,2016,106,12A,8.4,291309,Makoto Shinkai,"Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita","Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
84,3 Idiots,2009,170,12A,8.4,413457,Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
85,Singin' in the Rain,1952,103,U,8.3,250435,Stanley Donen,"Gene Kelly, Donald O'Connor, Debbie Reynolds",A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
86,High and Low,1963,143,12,8.4,48497,Akira Kurosawa,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai",An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
87,Requiem for a Dream,2000,102,18,8.3,866188,Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly",The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
88,Capernaum,2018,126,15,8.4,96537,Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole","While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
89,Toy Story 3,2010,103,U,8.3,860573,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
90,Star Wars: Episode VI - Return of the Jedi,1983,131,U,8.3,1083574,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher","After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side."
91,Come and See,1985,142,15,8.4,87452,Elem Klimov,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
92,Eternal Sunshine of the Spotless Mind,2004,108,15,8.3,1036653,Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
93,2001: A Space Odyssey,1968,149,U,8.3,689687,Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester","After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000."
94,The Hunt,2012,115,15,8.3,344197,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
95,Reservoir Dogs,1992,99,18,8.3,1048757,Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
96,Lawrence of Arabia,1962,218,PG,8.3,302850,David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
97,Citizen Kane,1941,119,A,8.3,452674,Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
98,Ikiru,1952,143,A,8.3,82642,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori",A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
99,M,1931,117,A,8.3,162563,Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
100,North by Northwest,1959,136,A,8.3,336196,Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason","A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
101,The Apartment,1960,125,A,8.3,187809,Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray","A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
102,Vertigo,1958,128,A,8.3,412886,Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes","A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
103,Amélie,2001,122,15,8.3,772574,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus","Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love."
104,Double Indemnity,1944,107,A,8.3,161631,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson","A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
105,A Clockwork Orange,1971,136,X,8.3,852105,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
106,Full Metal Jacket,1987,116,18,8.3,762883,Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
107,Scarface,1983,170,18,8.3,872637,Brian De Palma,"Al Pacino, Michelle Pfeiffer, Steven Bauer","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
108,Hamilton,2020,160,12,8.3,103211,Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr.","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
109,Incendies,2010,131,15,8.3,185871,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
110,Heat,1995,170,15,8.3,682427,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
111,Up,2009,96,U,8.3,1077354,Pete Docter,"Edward Asner, Jordan Nagai, John Ratzenberger","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
112,To Kill a Mockingbird,1962,129,A,8.3,323695,Robert Mulligan,"Gregory Peck, John Megna, Frank Overton","Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice."
113,The Sting,1973,129,A,8.3,270764,George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw",Two grifters team up to pull off the ultimate con.
114,A Separation,2011,123,PG,8.3,250622,Asghar Farhadi,"Payman Maadi, Leila Hatami, Sareh Bayat",A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
115,Indiana Jones and the Last Crusade,1989,127,PG,8.2,782489,Steven Spielberg,"Harrison Ford, Sean Connery, Alison Doody","In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
116,Metropolis,1927,153,A,8.3,179181,Fritz Lang,"Brigitte Helm, Alfred Abel, Gustav Fröhlich","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
117,Die Hard,1988,132,18,8.2,905614,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia",A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
118,L.A. Confidential,1997,138,18,8.2,596052,Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce","As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
119,Snatch,2000,104,18,8.2,878304,Guy Ritchie,"Jason Statham, Brad Pitt, Stephen Graham","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
120,Bicycle Thieves,1948,89,U,8.3,168610,Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell","In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
121,Taxi Driver,1976,114,X,8.2,871507,Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
122,Like Stars on Earth,2007,165,PG,8.3,199231,Aamir Khan,"Darsheel Safary, Aamir Khan, Tanay Chheda","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
123,1917,2019,119,15,8.2,628302,Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
124,Dangal,2016,161,PG,8.3,198880,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
125,Downfall,2004,156,15,8.2,363986,Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
126,Top Gun: Maverick,2022,130,12A,8.3,607377,Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller","After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
127,For a Few Dollars More,1965,132,X,8.2,264281,Sergio Leone,"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè",Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.
128,Batman Begins,2005,140,12A,8.2,1513108,Christopher Nolan,"Christian Bale, Michael Caine, Ken Watanabe","After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
129,The Kid,1921,68,U,8.3,130080,Charles Chaplin,"Charles Chaplin, Edna Purviance, Jackie Coogan","The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
130,Some Like It Hot,1959,121,A,8.2,274501,Billy Wilder,"Marilyn Monroe, Tony Curtis, Jack Lemmon","After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
131,The Father,2020,97,12A,8.2,172013,Florian Zeller,"Anthony Hopkins, Olivia Colman, Mark Gatiss","A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
132,The Wolf of Wall Street,2013,180,18,8.2,1476867,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
133,All About Eve,1950,138,A,8.2,134730,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders",A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
134,Green Book,2018,130,12A,8.2,524891,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
