title,oscar,total
M,NULL,2 wins
North by Northwest,Nominated for 3 Oscars,9 wins & 7 nominations total
Vertigo,Nominated for 2 Oscars,9 wins & 7 nominations total
Double Indemnity,Nominated for 7 Oscars,2 wins & 9 nominations total
Le fabuleux destin d'Am?lie Poulain,Nominated for 5 Oscars,59 wins & 74 nominations total
Scarface,NULL,8 nominations
Full Metal Jacket,Nominated for 1 Oscar,8 wins & 15 nominations total
Incendies,Nominated for 1 Oscar,41 wins & 19 nominations total
A Clockwork Orange,Nominated for 4 Oscars,12 wins & 25 nominations total
Heat,NULL,14 nominations
Up,Won 2 Oscars,80 wins & 87 nominations total
To Kill a Mockingbird,Won 3 Oscars,14 wins & 16 nominations total
Hamilton,Won 2 Primetime Emmys,19 wins & 46 nominations total
The Sting,Won 7 Oscars,18 wins & 6 nominations total
Jodaeiye Nader az Simin,Won 1 Oscar,88 wins & 51 nominations total
Indiana Jones and the Last Crusade,Won 1 Oscar,9 wins & 24 nominations total
Metropolis,NULL,6 wins & 6 nominations
Die Hard,Nominated for 4 Oscars,8 wins & 8 nominations total
Taare Zameen Par,NULL,27 wins & 18 nominations
Snatch.,NULL,4 wins & 7 nominations
Ladri di biciclette,Nominated for 1 Oscar,18 wins & 1 nomination total
L.A. Confidential,Won 2 Oscars,91 wins & 86 nominations total
Taxi Driver,Nominated for 4 Oscars,22 wins & 21 nominations total
1917,Won 3 Oscars,135 wins & 204 nominations total
Der Untergang,Nominated for 1 Oscar,22 wins & 34 nominations total
Dangal,NULL,41 wins & 37 nominations
Per qualche dollaro in pi?,NULL,2 nominations
Batman Begins,Nominated for 1 Oscar,14 wins & 79 nominations total
Top Gun: Maverick,Won 1 Oscar,94 wins & 216 nominations total
Some Like It Hot,Won 1 Oscar,11 wins & 13 nominations total
The Kid,NULL,2 wins
The Wolf of Wall Street,Nominated for 5 Oscars,37 wins & 179 nominations total
The Father,Won 2 Oscars,37 wins & 163 nominations total
Green Book,Won 3 Oscars,58 wins & 123 nominations total
All About Eve,Won 6 Oscars,27 wins & 20 nominations total
Judgment at Nuremberg,Won 2 Oscars,16 wins & 26 nominations total
The Truman Show,Nominated for 3 Oscars,40 wins & 69 nominations total
There Will Be Blood,Won 2 Oscars,114 wins & 138 nominations total
Casino,Nominated for 1 Oscar,4 wins & 11 nominations total
Shutter Island,NULL,11 wins & 66 nominations
Ran,Won 1 Oscar,30 wins & 23 nominations total
El Laberinto del fauno,Won 3 Oscars,109 wins & 115 nominations total
Jurassic Park,Won 3 Oscars,44 wins & 27 nominations total
The Sixth Sense,Nominated for 6 Oscars,37 wins & 56 nominations total
Unforgiven,Won 4 Oscars,51 wins & 47 nominations total
A Beautiful Mind,Won 4 Oscars,37 wins & 69 nominations total
No Country for Old Men,Won 4 Oscars,164 wins & 139 nominations total
Yojimbo,Nominated for 1 Oscar,4 wins & 2 nominations total
The Treasure of the Sierra Madre,Won 3 Oscars,15 wins & 5 nominations total
Kill Bill: Vol. 1,Nominated for 5 BAFTA NULL,30 wins & 103 nominations total
The Thing,NULL,5 nominations
Monty Python and the Holy Grail,NULL,2 wins & 2 nominations
The Great Escape,Nominated for 1 Oscar,3 wins & 11 nominations total
Finding Nemo,Won 1 Oscar,49 wins & 63 nominations total
Rash?mon,Nominated for 1 Oscar,9 wins & 5 nominations total
The Elephant Man,Nominated for 8 Oscars,11 wins & 22 nominations total
Chinatown,Won 1 Oscar,21 wins & 24 nominations total
Hauru no ugoku shiro,Nominated for 1 Oscar,14 wins & 20 nominations total
Dial M for Murder,Nominated for 1 BAFTA Award,5 wins & 3 nominations total
Gone with the Wind,Won 8 Oscars,21 wins & 9 nominations total
V for Vendetta,NULL,7 wins & 29 nominations
Prisoners,Nominated for 1 Oscar,10 wins & 38 nominations total
Raging Bull,Won 2 Oscars,24 wins & 28 nominations total
"Lock, Stock and Two Smoking Barrels",Won 1 BAFTA Award,13 wins & 9 nominations total
El secreto de sus ojos,Won 1 Oscar,53 wins & 43 nominations total
Inside Out,Won 1 Oscar,99 wins & 118 nominations total
Spider-Man: No Way Home,Nominated for 1 Oscar,35 wins & 71 nominations total
"Three Billboards Outside Ebbing, Missouri",Won 2 Oscars,132 wins & 233 nominations total
Trainspotting,Nominated for 1 Oscar,23 wins & 35 nominations total
The Bridge on the River Kwai,Won 7 Oscars,30 wins & 7 nominations total
Fargo,Won 2 Oscars,83 wins & 58 nominations total
Warrior,Nominated for 1 Oscar,5 wins & 22 nominations total
